"id","kanji_id","created_at","updated_at","level"
"81","2471","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"82","1074","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"83","2887","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"84","1122","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"85","565","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"86","45","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"87","221","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"88","2428","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"89","836","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"90","1425","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"91","2500","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"92","682","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"93","1697","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"94","1273","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"95","1707","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"96","2505","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"97","1424","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"98","1226","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"99","2210","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"100","2372","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"101","2524","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"102","1648","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"103","788","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"104","2222","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"105","2035","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"106","837","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"107","1186","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"108","2523","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"109","1831","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"110","2869","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"111","738","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"112","46","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"113","2492","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"114","1948","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"115","740","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"116","1698","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"117","1949","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"118","650","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"119","492","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"120","2559","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"121","728","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"122","1051","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"123","2343","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"124","977","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"125","976","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"126","1315","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"127","683","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"128","2083","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"129","1690","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"130","2583","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"131","2849","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"132","1644","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"133","493","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"134","203","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"135","1212","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"136","1316","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"137","2731","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"138","773","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"139","685","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"140","1250","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"141","1877","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"142","1576","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"143","839","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"144","924","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"145","2672","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"146","1123","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"147","2036","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"148","2162","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"149","1618","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"150","2268","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"151","840","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"152","2941","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"153","570","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"154","2472","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"155","645","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"156","1995","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"157","741","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"158","2134","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"159","157","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"160","1033","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"161","978","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"162","2571","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"163","1389","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"164","1172","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"165","383","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"166","2037","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"167","2888","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"168","1280","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"169","2038","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"170","601","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"171","2600","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"172","1294","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"173","571","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"174","2112","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"175","184","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"176","1270","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"177","2039","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"178","1457","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"179","2456","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"180","1562","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"181","378","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"182","385","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"183","684","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"184","2903","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"185","1295","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"186","2285","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"187","2488","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"188","2814","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"189","2068","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"190","1513","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"191","1034","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"192","742","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"193","1075","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"194","925","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"195","1699","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"196","1019","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"197","1614","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"198","2560","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"199","914","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"200","743","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"201","1002","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"202","2441","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"203","1390","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"204","350","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"205","1645","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"206","722","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"207","2867","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"208","841","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"209","223","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"210","2904","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"211","1307","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"212","2030","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"213","2889","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"214","2925","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"215","842","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"216","297","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"217","1908","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"218","2732","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"219","2501","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"220","2084","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"221","386","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"222","2651","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"223","1317","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"224","2515","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"225","1514","2010-02-17 12:32:40","2010-02-17 12:32:40","5"
"226","612","2010-02-17 12:32:40","2010-02-17 12:32:40","6"
"227","387","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"228","672","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"229","1187","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"230","2704","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"231","2525","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"232","217","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"233","2582","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"234","1318","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"235","2354","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"236","636","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"237","69","2010-02-17 12:32:40","2010-02-17 12:32:40","3"
"238","2099","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"239","1251","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"240","1577","2010-02-17 12:32:40","2010-02-17 12:32:40","1"
"241","1319","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"242","817","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"243","2286","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"244","2316","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"245","1712","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"246","1770","2010-02-17 12:32:40","2010-02-17 12:32:40","S"
"247","572","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"248","2146","2010-02-17 12:32:40","2010-02-17 12:32:40","2"
"249","1803","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
"250","2240","2010-02-17 12:32:40","2010-02-17 12:32:40","4"
