"id","level","kanji_id","created_at","updated_at"
"1","1","1140","2010-02-17 12:32:39","2010-02-17 12:32:39"
"2","1","1341","2010-02-17 12:32:39","2010-02-17 12:32:39"
"3","1","980","2010-02-17 12:32:39","2010-02-17 12:32:39"
"4","1","1191","2010-02-17 12:32:39","2010-02-17 12:32:39"
"5","1","826","2010-02-17 12:32:39","2010-02-17 12:32:39"
"6","1","1312","2010-02-17 12:32:39","2010-02-17 12:32:39"
"7","1","2734","2010-02-17 12:32:39","2010-02-17 12:32:39"
"8","1","2658","2010-02-17 12:32:39","2010-02-17 12:32:39"
"9","1","2862","2010-02-17 12:32:39","2010-02-17 12:32:39"
"10","1","2879","2010-02-17 12:32:39","2010-02-17 12:32:39"
"11","1","2617","2010-02-17 12:32:39","2010-02-17 12:32:39"
"12","1","2820","2010-02-17 12:32:39","2010-02-17 12:32:39"
"13","1","4294","2010-02-17 12:32:39","2010-02-17 12:32:39"
"14","1","4124","2010-02-17 12:32:39","2010-02-17 12:32:39"
"15","1","4056","2010-02-17 12:32:39","2010-02-17 12:32:39"
"16","1","3984","2010-02-17 12:32:39","2010-02-17 12:32:39"
"17","1","4464","2010-02-17 12:32:39","2010-02-17 12:32:39"
"18","1","5250","2010-02-17 12:32:39","2010-02-17 12:32:39"
"19","1","5549","2010-02-17 12:32:39","2010-02-17 12:32:39"
"20","1","5560","2010-02-17 12:32:39","2010-02-17 12:32:39"
"21","1","5767","2010-02-17 12:32:39","2010-02-17 12:32:39"
"22","1","11","2010-02-17 12:32:39","2010-02-17 12:32:39"
"23","1","28","2010-02-17 12:32:39","2010-02-17 12:32:39"
"24","1","41","2010-02-17 12:32:39","2010-02-17 12:32:39"
"25","1","62","2010-02-17 12:32:39","2010-02-17 12:32:39"
"26","1","77","2010-02-17 12:32:39","2010-02-17 12:32:39"
"27","1","93","2010-02-17 12:32:39","2010-02-17 12:32:39"
"28","1","106","2010-02-17 12:32:39","2010-02-17 12:32:39"
"29","1","120","2010-02-17 12:32:39","2010-02-17 12:32:39"
"30","1","139","2010-02-17 12:32:39","2010-02-17 12:32:39"
"31","1","152","2010-02-17 12:32:39","2010-02-17 12:32:39"
"32","1","172","2010-02-17 12:32:39","2010-02-17 12:32:39"
"33","1","184","2010-02-17 12:32:39","2010-02-17 12:32:39"
"34","1","847","2010-02-17 12:32:39","2010-02-17 12:32:39"
"35","1","1318","2010-02-17 12:32:39","2010-02-17 12:32:39"
"36","1","1319","2010-02-17 12:32:39","2010-02-17 12:32:39"
"37","1","1132","2010-02-17 12:32:39","2010-02-17 12:32:39"
"38","1","244","2010-02-17 12:32:39","2010-02-17 12:32:39"
"39","1","946","2010-02-17 12:32:39","2010-02-17 12:32:39"
"40","1","1229","2010-02-17 12:32:39","2010-02-17 12:32:39"
"41","1","1426","2010-02-17 12:32:39","2010-02-17 12:32:39"
"42","1","1051","2010-02-17 12:32:39","2010-02-17 12:32:39"
"43","1","296","2010-02-17 12:32:39","2010-02-17 12:32:39"
"44","1","312","2010-02-17 12:32:39","2010-02-17 12:32:39"
"45","1","326","2010-02-17 12:32:39","2010-02-17 12:32:39"
"46","1","339","2010-02-17 12:32:39","2010-02-17 12:32:39"
"47","1","360","2010-02-17 12:32:39","2010-02-17 12:32:39"
"48","1","869","2010-02-17 12:32:39","2010-02-17 12:32:39"
"49","1","972","2010-02-17 12:32:39","2010-02-17 12:32:39"
"50","1","1443","2010-02-17 12:32:39","2010-02-17 12:32:39"
"51","1","390","2010-02-17 12:32:39","2010-02-17 12:32:39"
"52","1","405","2010-02-17 12:32:39","2010-02-17 12:32:39"
"53","1","423","2010-02-17 12:32:39","2010-02-17 12:32:39"
"54","1","1165","2010-02-17 12:32:39","2010-02-17 12:32:39"
"55","1","452","2010-02-17 12:32:39","2010-02-17 12:32:39"
"56","1","1261","2010-02-17 12:32:39","2010-02-17 12:32:39"
"57","1","1176","2010-02-17 12:32:39","2010-02-17 12:32:39"
"58","1","1177","2010-02-17 12:32:39","2010-02-17 12:32:39"
"59","1","479","2010-02-17 12:32:39","2010-02-17 12:32:39"
"60","1","1179","2010-02-17 12:32:39","2010-02-17 12:32:39"
"61","1","1368","2010-02-17 12:32:39","2010-02-17 12:32:39"
"62","1","805","2010-02-17 12:32:39","2010-02-17 12:32:39"
"63","1","1370","2010-02-17 12:32:39","2010-02-17 12:32:39"
"64","1","1277","2010-02-17 12:32:39","2010-02-17 12:32:39"
"65","1","1192","2010-02-17 12:32:39","2010-02-17 12:32:39"
"66","1","1287","2010-02-17 12:32:39","2010-02-17 12:32:39"
"67","1","573","2010-02-17 12:32:39","2010-02-17 12:32:39"
"68","1","1007","2010-02-17 12:32:39","2010-02-17 12:32:39"
"69","1","820","2010-02-17 12:32:39","2010-02-17 12:32:39"
"70","1","1291","2010-02-17 12:32:39","2010-02-17 12:32:39"
"71","1","1292","2010-02-17 12:32:39","2010-02-17 12:32:39"
"72","1","1387","2010-02-17 12:32:39","2010-02-17 12:32:39"
"73","1","1490","2010-02-17 12:32:39","2010-02-17 12:32:39"
"74","1","833","2010-02-17 12:32:39","2010-02-17 12:32:39"
"75","1","1116","2010-02-17 12:32:39","2010-02-17 12:32:39"
